"beds","province_short"
179.0,"TO"
18.0,"TO"
17.0,"TO"
277.0,"TO"
15.0,"TO"
80.0,"TO"
25.0,"TO"
20.0,"TO"
120.0,"TO"
145.0,"TO"
102.0,"TO"
49.0,"TO"
55.0,"TO"
175.0,"TO"
260.0,"TO"
25.0,"TO"
30.0,"TO"
296.0,"TO"
109.0,"TO"
59.0,"TO"
40.0,"TO"
11.0,"TO"
40.0,"TO"
80.0,"TO"
30.0,"TO"
70.0,"TO"
90.0,"TO"
60.0,"TO"
149.0,"TO"
331.0,"TO"
16.0,"TO"
16.0,"TO"
64.0,"TO"
7.0,"TO"
30.0,"TO"
35.0,"TO"
50.0,"TO"
37.0,"TO"
0.0,"TO"
296.0,"VC"
90.0,"VC"
20.0,"VC"
90.0,"VC"
354.0,"BI"
21.0,"BI"
22.0,"BI"
28.0,"BI"
30.0,"BI"
10.0,"BI"
10.0,"BI"
203.0,"NO"
58.0,"NO"
42.0,"NO"
14.0,"NO"
18.0,"NO"
20.0,"NO"
90.0,"NO"
272.0,"VB"
28.0,"VB"
60.0,"VB"
126.0,"VB"
191.0,"CN"
22.0,"CN"
317.0,"CN"
20.0,"CN"
52.0,"CN"
36.0,"CN"
30.0,"CN"
41.0,"CN"
60.0,"CN"
258.0,"CN"
0.0,"CN"
13.0,"CN"
13.0,"CN"
54.0,"CN"
99.0,"CN"
11.0,"CN"
100.0,"CN"
397.0,"AT"
40.0,"AT"
18.0,"AT"
59.0,"AT"
581.0,"AL"
40.0,"AL"
23.0,"AL"
26.0,"AL"
72.0,"AL"
86.0,"AL"
58.0,"AL"
263.0,"TO"
218.0,"TO"
28.0,"TO"
319.0,"TO"
66.0,"TO"
101.0,"TO"
20.0,"TO"
84.0,"TO"
30.0,"TO"
0.0,"TO"
79.0,"TO"
0.0,"TO"
128.0,"TO"
15.0,"TO"
100.0,"TO"
104.0,"TO"
20.0,"TO"
19.0,"TO"
80.0,"TO"
66.0,"TO"
327.0,"TO"
4.0,"TO"
12.0,"TO"
532.0,"NO"
39.0,"NO"
591.0,"CN"
9.0,"CN"
501.0,"AL"
73.0,"AL"
366.0,"TO"
17.0,"TO"
15.0,"TO"
1719.0,"TO"
70.0,"TO"
68.0,"VB"
277.0,"VB"
315.0,"NO"
66.0,"TO"
340.0,"AO"
16.0,"AO"
14.0,"AO"
10.0,"AO"
64.0,"AO"
100.0,"MI"
215.0,"MI"
39.0,"MI"
74.0,"MI"
20.0,"MI"
40.0,"MI"
41.0,"MI"
109.0,"MI"
116.0,"MI"
4.0,"MI"
20.0,"MI"
68.0,"MI"
2.0,"MI"
68.0,"MI"
121.0,"MI"
25.0,"MI"
27.0,"MI"
57.0,"MI"
49.0,"MI"
48.0,"MI"
70.0,"MI"
25.0,"MI"
45.0,"MI"
42.0,"MI"
246.0,"MI"
50.0,"MI"
20.0,"MI"
163.0,"VA"
44.0,"VA"
109.0,"VA"
14.0,"VA"
135.0,"CO"
39.0,"CO"
180.0,"CO"
91.0,"CO"
2.0,"CO"
32.0,"CO"
52.0,"CO"
10.0,"CO"
133.0,"CO"
5.0,"CO"
66.0,"CO"
10.0,"CO"
54.0,"CO"
35.0,"VA"
40.0,"VA"
143.0,"VA"
148.0,"CO"
5.0,"CO"
131.0,"CO"
58.0,"LC"
20.0,"LC"
76.0,"LC"
139.0,"MB"
47.0,"MB"
72.0,"MB"
2.0,"MB"
66.0,"MB"
117.0,"MB"
0.0,"MB"
63.0,"MB"
89.0,"LC"
119.0,"MB"
223.0,"BG"
13.0,"BG"
60.0,"BG"
24.0,"BG"
34.0,"BG"
23.0,"BG"
92.0,"BG"
7.0,"BG"
33.0,"BG"
189.0,"BG"
2.0,"BG"
72.0,"BG"
209.0,"BG"
5.0,"BG"
40.0,"BG"
10.0,"BG"
4.0,"BG"
84.0,"BG"
15.0,"BG"
15.0,"BG"
57.0,"BG"
10.0,"BG"
19.0,"BG"
34.0,"BG"
46.0,"BG"
24.0,"BG"
25.0,"BG"
51.0,"BG"
77.0,"BS"
17.0,"BS"
16.0,"BS"
211.0,"BS"
4.0,"BS"
40.0,"BS"
10.0,"BS"
9.0,"BS"
36.0,"BS"
223.0,"BS"
4.0,"BS"
70.0,"BS"
95.0,"BS"
4.0,"BS"
40.0,"BS"
10.0,"BS"
146.0,"BS"
510.0,"BS"
40.0,"BS"
19.0,"BS"
53.0,"BS"
28.0,"BS"
10.0,"BS"
110.0,"BS"
15.0,"BS"
15.0,"BS"
33.0,"CR"
46.0,"CR"
56.0,"CR"
6.0,"CR"
16.0,"CR"
85.0,"CR"
6.0,"CR"
35.0,"CR"
62.0,"MN"
5.0,"MN"
20.0,"MN"
0.0,"MN"
19.0,"MN"
40.0,"MN"
95.0,"MN"
20.0,"MN"
78.0,"MN"
86.0,"PV"
119.0,"PV"
34.0,"PV"
10.0,"PV"
20.0,"PV"
78.0,"PV"
38.0,"PV"
921.0,"MI"
8.0,"MI"
44.0,"MI"
419.0,"MI"
10.0,"MI"
416.0,"MI"
41.0,"MI"
149.0,"MI"
83.0,"MI"
280.0,"MI"
16.0,"MI"
431.0,"MI"
12.0,"MI"
164.0,"MI"
120.0,"MI"
57.0,"MI"
68.0,"MI"
439.0,"MI"
20.0,"MI"
507.0,"MI"
20.0,"MI"
325.0,"MI"
12.0,"MI"
40.0,"MI"
228.0,"MI"
40.0,"MI"
14.0,"MI"
36.0,"MI"
143.0,"MI"
195.0,"MI"
18.0,"MI"
138.0,"MI"
277.0,"MI"
46.0,"MI"
157.0,"MI"
289.0,"LO"
87.0,"LO"
17.0,"LO"
20.0,"LO"
15.0,"LO"
32.0,"LO"
20.0,"LO"
26.0,"LO"
125.0,"VA"
7.0,"VA"
78.0,"VA"
12.0,"VA"
138.0,"VA"
16.0,"VA"
697.0,"VA"
33.0,"VA"
391.0,"VA"
20.0,"VA"
301.0,"VA"
4.0,"VA"
12.0,"VA"
253.0,"VA"
10.0,"VA"
33.0,"VA"
48.0,"VA"
