"municipality","municipality_code","province_code","province","province_short","region","region_code","population","population_F","population_M"
"Agliè","1001","1","Torino","TO","Piemonte","1","2562.0","1347.0","1215.0"
"Airasca","1002","1","Torino","TO","Piemonte","1","3660.0","1793.0","1867.0"
"Ala di Stura","1003","1","Torino","TO","Piemonte","1","467.0","225.0","242.0"
"Albiano d'Ivrea","1004","1","Torino","TO","Piemonte","1","1637.0","852.0","785.0"
"Almese","1006","1","Torino","TO","Piemonte","1","6331.0","3232.0","3099.0"
"Alpette","1007","1","Torino","TO","Piemonte","1","240.0","113.0","127.0"
"Alpignano","1008","1","Torino","TO","Piemonte","1","16501.0","8346.0","8155.0"
"Andezeno","1009","1","Torino","TO","Piemonte","1","2036.0","1018.0","1018.0"
"Andrate","1010","1","Torino","TO","Piemonte","1","474.0","214.0","260.0"
"Angrogna","1011","1","Torino","TO","Piemonte","1","827.0","394.0","433.0"
"Arignano","1012","1","Torino","TO","Piemonte","1","1072.0","503.0","569.0"
"Avigliana","1013","1","Torino","TO","Piemonte","1","12350.0","6316.0","6034.0"
"Azeglio","1014","1","Torino","TO","Piemonte","1","1240.0","629.0","611.0"
"Bairo","1015","1","Torino","TO","Piemonte","1","790.0","419.0","371.0"
"Balangero","1016","1","Torino","TO","Piemonte","1","3064.0","1578.0","1486.0"
"Baldissero Canavese","1017","1","Torino","TO","Piemonte","1","530.0","271.0","259.0"
"Baldissero Torinese","1018","1","Torino","TO","Piemonte","1","3755.0","1882.0","1873.0"
"Balme","1019","1","Torino","TO","Piemonte","1","105.0","49.0","56.0"
"Banchette","1020","1","Torino","TO","Piemonte","1","3085.0","1625.0","1460.0"
"Barbania","1021","1","Torino","TO","Piemonte","1","1570.0","788.0","782.0"
"Bardonecchia","1022","1","Torino","TO","Piemonte","1","3044.0","1530.0","1514.0"
"Barone Canavese","1023","1","Torino","TO","Piemonte","1","556.0","287.0","269.0"
"Beinasco","1024","1","Torino","TO","Piemonte","1","17464.0","9052.0","8412.0"
"Bibiana","1025","1","Torino","TO","Piemonte","1","3378.0","1682.0","1696.0"
